burn,site,type,traj.2017,RSN,moist.class,sev.class,moist.2008,TDR.2006,TDR.2008,TDR.2011,elev,Lat(N),Lon(W),slope.deg,aspect,asp.folded,lat.rad,slope.rad,aspect.rad,ln(Htload),insolation,pH,%sand,%silt,%clay,text.class,slope.pos,Burn.date,Burn.date.julian,mortality (%),%Can.cons,last.fire,oldest.tree,recruit.type,ave.age,CBI.total,CBI.Under,CBI.Over,CBI.substrate,PreFireOrg,%OrgLoss,Resid.org,Resid.CV,org.dep.2011,org.cov,moss.cov,dmoss.cov,post.SON,post.SOC,BS.dens,BS.ba,BS.ba.stg,TA.dens,TA.ba,PB.dens,PB.ba,Dec.nstand
TC,1,int,decid,,moist,high,6,68.3,59,71.7,600,64.0574978,-142.0202229,3,155,110,1.118,0.052,1.920,-0.621,0.784,6.9,41.6,40.0,18.4,4,3,12-Jul-04,194,100,73.1,30,30,2,28,2.09,2.18,1.84,2.3,9.9,63.7,3.1,0.85,8.2,45,52,0,0.069,2.04,0.58,0.8,0.5,0,0,0.025,0.240920887,3
TC,4,int,spruce,TKN0149,moist,low,4,46.3,75.8,48.7,697,64.0199434,-142.0867092,4,198,153,1.117,0.070,2.670,-0.578,0.796,4.9,52.2,35.4,12.4,4,1,19-Jun-04,171,95,66.4,100,159,3,107,1.39,1.13,2.02,0.5,26.3,31.7,16.3,0.40,13.0,73,5,17,0.227,8.35,1.55,9.5,9.4,0,0,0,0,3
TC,8,int,spruce,,moist,low,3,63.7,50.6,51.0,653,63.9603666,-142.1695182,4,180,135,1.116,0.070,2.356,-0.586,0.799,6.5,22.2,63.4,14.4,4,0,20-Jun-04,172,100,98.0,95,95,2,89,2.26,1.89,3,0.8,18.5,46.3,10.8,0.53,9.7,62,13,18,0.122,3.47,0.92,10.3,10.3,0.1,7.007584213,0.011111111,0.031503193,3
TC,10,int,mixed,,moist,high,5,48.0,56.4,60.3,722,63.84834,-142.22064,6,288,117,1.114,0.105,2.042,-0.582,0.731,5.6,23.2,62.4,14.4,2,1,17-Jul-04,199,98,75.5,47,47,2.1,38,2.11,2.19,1.9,2.25,18.9,65.5,7.8,1.08,11.3,43,55,0,0.066,1.86,1.20,3.1,1.3,0,0,0,0,4
TC,13,treeline,decid,TKN0218,NA,NA,3,26.6,51.2,32.0,1022,63.658345,-142.2900212,8,282,123,1.111,0.140,2.147,-0.547,0.732,5.2,35.6,55.2,9.2,1,1,24-Aug-04,237,30,67.0,66,66,2.1,59,1.77,1.64,2.18,1,24.4,55.5,11.3,1.21,9.0,20,7,47,0.136,3.61,0.18,4.7,3.0,0,0,0,0,7
TC,14,treeline,mixed,,NA,NA,3,23.6,24.6,30.3,985,63.6304745,-142.3082313,4,255,150,1.111,0.070,2.618,-0.571,0.769,5.0,34.0,54.8,11.2,2,1,12-Jul-04,194,100,83.0,73,73,2.1,65,1.98,1.98,NA,1.5,12.7,77.3,4.4,0.85,4.7,17,7,52,0.065,1.95,0.12,0.3,0.3,0,0,0,0,5
TC,19,int,open,,dry,low,2,23.6,27.6,23.0,890,63.5398766,-142.3896237,0,90,45,1.109,0.000,0.785,-0.634,0.760,4.7,22.0,70.8,7.2,4,0,25-Jun-04,175,100,86.9,95,95,2,90,2.45,2.03,2.96,1.25,18.7,72.2,7.5,0.69,10.7,77,3,20,0.109,3.34,0.58,18.7,18.5,0,0,0,0,7
TC,23,int,decid,TKN0152,dry,high,3,24.5,34,33.0,870,63.460388,-142.4682762,4,142,97,1.108,0.070,1.693,-0.618,0.795,5.2,22.6,61.0,16.4,2,0,26-Jun-04,178,100,89.5,96,96,2.1,87,2.47,2.27,2.96,2.05,19.2,72.5,4.2,1.01,8.7,75,15,8,0.104,3.06,0.94,18.0,10.8,0,0,0,0,7
TC,24,int,open,,dry,low,2,34.5,23.8,21.7,870,63.4618322,-142.4703648,0,90,45,1.108,0.000,0.785,-0.633,0.761,4.7,39.2,50.4,10.4,2,0,26-Jun-04,178,100,88.8,99,99,2,94,2.1,1.76,2.94,0.75,24.8,60.0,8.2,0.52,10.0,83,5,12,0.141,4.57,0.88,27.3,26.0,0,0,0,0,7
TC,25,int,spruce,TKN0154,moist,low,5,56.3,53.6,57.3,800,63.4215899,-142.4827476,4,40,5,1.107,0.070,0.087,-0.737,0.725,5.5,25.2,70.4,4.4,5,1,29-Jun-04,181,100,66.9,173,173,1,147,1.74,1.43,2.56,0.83,26.0,38.6,16.6,0.26,9.3,53,0,37,0.148,4.17,1.00,8.1,8.0,0,0,0,0,4
TC,26,int,open,TKN0153,dry,low,3,52.6,57.6,54.0,787,63.5214039,-142.3907223,2,123,78,1.109,0.035,1.361,-0.641,0.772,5.4,16.8,60.8,22.4,3,3,24-Jun-04,176,100,80.5,101,101,2,97,2.03,1.76,2.7,0.75,29.6,44.3,16.3,0.29,6.7,80,0,17,0.277,7.18,1.17,7.9,7.4,0,0,0,0,7
TC,27,int,spruce,TKN0155,moist,low,4,55.9,53.6,44.5,790,63.4061793,-142.4720832,3,66,21,1.107,0.052,0.367,-0.701,0.747,5.5,31.8,65.8,2.4,2,3,1-Jul-04,183,100,72.9,172,172,2.1,165,1.71,1.37,2.6,1,36.5,45.4,18.3,0.41,12.0,68,8,23,0.217,5.24,1.34,9.9,9.1,0,0,0,0,7
TC,29,int,mixed,TKN0157,dry,high,3,27.6,55.2,68.2,628,63.3870094,-142.5245536,5,222,177,1.106,0.087,3.089,-0.551,0.801,6.0,87.6,9.6,2.8,2,1,12-Jul-04,194,100,90.8,104,104,2.1,97,2.9,2.8,3,3,15.2,89.5,1.6,0.88,4.7,25,70,0,0.021,0.62,0.53,16.4,0.2,0,0,0,0,7
DC,30,treeline,decid,TKN0229,NA,NA,2,32.5,22.2,23.1,550,66.3151678,-150.40549,3,158,113,1.157,0.052,1.972,-0.666,0.760,4.9,36.6,48.6,14.8,4,0,21-Aug-04,234,100,40.0,70,70,1,62,2.3,2.39,2.1,2.45,20.8,88.0,2.1,0.67,3.7,31,18,11,0.028,0.86,0.08,0.1,0.0,0,0,0,0,7
DC,31,treeline,mixed,,NA,NA,2,18.2,14.6,15.6,550,66.31513,-150.39724,3,197,152,1.157,0.052,2.653,-0.643,0.761,4.6,55.6,35.6,8.8,1,0,21-Aug-04,234,100,61.2,85,85,1,64,2.73,2.64,2.64,2.7,15.9,93.3,1.8,0.76,2.7,48,13,8,0.000,0.00,0.17,6.9,5.8,0,0,0,0,7
DC,34,treeline,mixed,,NA,NA,3,42.4,69.2,66.5,565,66.2091254,-150.2703422,8,75,30,1.156,0.140,0.524,-0.865,0.697,4.7,NA,NA,NA,4,1,20-Aug-04,233,99,50.0,90,136,3,80,1.74,1.65,1.94,1.55,24.6,48.4,13.0,0.87,0.0,35,8,38,0.260,7.19,0.04,0.0,0.0,0,0,0,0,7
DC,35,int,spruce,,moist,low,5,64.0,81.8,56.7,520,66.2130808,-150.2641044,7,80,35,1.156,0.122,0.611,-0.832,0.709,4.6,NA,NA,NA,4,1,20-Aug-04,233,100,83.7,90,90,2,81,2.34,2.33,2.38,1.83,27.9,46.0,19.8,0.40,7.3,39,15,43,0.206,5.34,0.83,3.9,3.8,0,0,0,0,7
DC,37,int,mixed,DCY10,moist,high,5,27.0,45.4,34.1,390,66.2077144,-150.2350495,3,75,30,1.156,0.052,0.524,-0.755,0.719,5.6,12.4,68.8,18.8,3,3,21-Aug-04,234,100,76.0,90,125,3,96,2.6,2.73,2.21,3,21.5,95.0,1.2,0.51,0.0,3,70,0,0.000,0.00,0.78,18.9,0.0,0,0,0.058333333,1.43682049,4
DC,39,int,spruce,DCY09,moist,high,4,48.5,45.4,NA,300,66.168597,-150.2042632,1,231,174,1.155,0.017,3.037,-0.673,0.737,5.7,2.0,81.2,16.8,4,3,21-Aug-04,234,100,88.4,95,94,2,94,2.54,2.47,2.76,2,19.6,78.2,7.3,1.02,4.2,37,63,0,0.078,2.38,2.03,7.6,4.1,0.008333333,0.058904862,0,0,7
DC,40,int,decid,DCY08,moist,high,4,30.1,38,26.6,280,66.1636295,-150.2020497,0,90,45,1.155,0.000,0.785,-0.690,0.729,6.3,12.0,70.2,17.8,3,3,21-Aug-04,234,100,89.1,92,92,2,88,2.78,2.96,2.48,3,14.8,92.4,0.0,0.00,0.0,0,85,0,0.000,0.00,1.31,11.7,0.0,0.05,0.324303992,0.033333333,1.438653086,7
DC,42,int,decid,DCY07,moist,high,3,30.9,25,24.3,260,66.151771,-150.1813047,0,90,45,1.155,0.000,0.785,-0.690,0.730,6.2,18.0,70.2,11.8,3,3,21-Aug-04,234,100,99.5,90,90,2,88,2.93,2.91,2.95,3,15.0,92.5,1.0,0.33,0.0,2,93,0,0.014,0.43,1.83,27.3,0.4,0,0,0,0,5
DC,44,int,spruce,DCY06,dry,low,4,55.0,67,49.2,250,66.1407909,-150.1723966,0,90,45,1.154,0.000,0.785,-0.690,0.730,6.1,3.0,79.2,17.8,4,0,21-Aug-04,234,100,87.6,97,97,2,91,2.41,2.32,2.65,1.25,16.1,47.7,9.2,0.46,6.3,80,18,0,0.141,4.23,2.13,5.5,4.6,0,0,0.016666667,0.471369798,7
DC,46,int,mixed,DCY05,dry,high,1,11.2,9.4,NA,220,66.1097479,-150.1578854,0,90,45,1.154,0.000,0.785,-0.689,0.730,4.7,20.0,57.2,22.8,3,0,25-Aug-04,238,100,65.7,94,94,2,91,2.66,2.89,2.25,3,9.8,88.3,1.1,0.28,0.0,72,8,0,0.000,0.00,1.29,9.7,8.6,0.016666667,0.085150251,0,0,2
DC,49,int,spruce,DCY04,moist,low,4,54.4,58,57.3,220,66.1051348,-150.1535931,2,15,30,1.154,0.035,0.524,-0.732,0.707,6.1,NA,NA,NA,5,3,25-Aug-04,238,98,44.5,87,87,2,83,2.06,2.11,1.94,2.5,21.2,47.6,12.9,0.25,18.7,35,52,7,0.140,3.90,1.75,6.5,6.2,0,0,0,0,7
DC,51,int,decid,,dry,high,1,6.2,4.8,8.7,230,66.0744509,-150.1678399,0,90,45,1.153,0.000,0.785,-0.689,0.730,4.9,11.6,63.8,24.6,3,3,28-Aug-04,241,100,78.5,88,88,2,85,2.52,2.57,2.45,2.75,8.2,86.4,1.0,0.00,0.0,43,3,0,0.000,0.00,0.36,4.6,4.4,0.075,1.688933301,0.025,0.927686131,2
DC,53,int,decid,DCY03,dry,high,3,25.5,50.2,29.5,206,66.0719622,-150.1667733,7,155,110,1.153,0.122,1.920,-0.634,0.801,7.7,12.0,77.4,10.6,3,2,28-Aug-04,241,100,87.0,88,88,2,86,2.87,2.9,2.85,2.9,15.0,91.1,1.3,0.51,0.0,28,35,0,0.000,0.00,0.96,20.4,6.0,0.008333333,0.037699112,0,0,2
DC,54,int,spruce,DCY01,dry,low,3,54.6,50.6,48.6,135,65.9104659,-149.7807166,2,215,170,1.150,0.035,2.967,-0.650,0.751,6.6,96.0,0.4,3.6,3,3,30-Jun-04,182,100,98.3,74,74,2,73,1.97,1.59,3,1.38,19.4,34.0,15.1,0.32,0.0,47,27,13,0.245,6.14,2.38,9.5,9.3,0,0,0,0,6
BF,61,int,open,BFY08/TKN0230,moist,low,5,57.0,37.4,57.3,695,65.349341,-146.6688622,1,185,140,1.141,0.017,2.443,-0.657,0.751,4.9,NA,NA,NA,4,3,27-Jun-04,179,100,58.5,69,76,2.1,66,1.92,1.63,2.73,1.1,26.2,74.6,12.0,0.71,6.7,24,5,46,0.067,3.02,0.47,7.1,6.5,0,0,0,0,7
BF,62,int,open,TKN0105,dry,low,3,36.7,42.2,NA,720,65.3509389,-146.6709342,7,140,95,1.141,0.122,1.658,-0.655,0.797,4.7,28.0,58.8,13.2,3,1,27-Jun-04,179,98,43.5,66,66,2.1,57,1.61,1.29,2.48,0.6,23.1,62.3,11.3,0.30,8.5,48,3,28,0.173,5.15,0.33,6.7,6.5,0,0,0,0,7
BF,63,int,open,BFY09,dry,low,3,14.7,29.6,NA,770,65.3531428,-146.6737279,10,170,125,1.141,0.175,2.182,-0.556,0.843,4.6,34.0,51.8,14.2,3,0,27-Jun-04,179,99,29.3,71,128,3,84,1.76,1.54,2.2,1.3,18.5,73.5,8.3,0.47,NA,32,2,25,0.163,4.80,0.43,10.7,10.2,0,0,0,0,7
BF,76,int,decid,,dry,high,2,12.1,16.4,8.7,255,65.1233693,-147.465446,12,324,81,1.137,0.209,1.414,-0.707,0.612,3.6,61.2,33.6,5.2,1,2,1-Jul-04,183,100,27.8,87,196,3,122,2.45,2.67,2.2,2.75,21.9,74.2,3.8,1.90,NA,32,35,3,0.049,1.55,0.09,2.2,2.2,0,0,0.008333333,0.121016767,2
BF,78,int,decid,,moist,high,6,51.0,55,47.4,240,65.1529314,-147.4811263,4,258,147,1.137,0.070,2.566,-0.604,0.749,4.8,13.4,79.2,7.4,3,2,22-Jul-04,204,95,70.7,94,94,2.1,88,2.23,2.23,NA,2.63,24.4,49.4,14.2,0.58,6.3,42,28,17,0.230,5.15,0.52,3.8,0.0,0,0,0,0,5
BF,79,int,decid,,moist,high,3,38.5,40.2,17.3,250,65.1508973,-147.4761251,12,269,136,1.137,0.209,2.374,-0.503,0.728,4.8,NA,NA,NA,3,2,22-Jul-04,204,100,58.6,96,176,3,114,2.82,2.87,2.74,2.93,14.1,82.1,1.3,0.71,0.0,13,85,0,0.017,0.67,0.95,8.4,0.0,0,0,0,0,0
BF,81,int,mixed,BFY04/TKN0136,dry,high,3,48.5,46,23.1,260,65.150311,-147.4732443,9,272,133,1.137,0.157,2.321,-0.547,0.729,4.9,50.8,42.0,7.2,3,1,22-Jul-04,204,100,67.9,176,176,1,132,2.73,2.84,2.58,2.8,27.1,74.4,7.5,1.02,2.2,33,55,10,0.174,5.26,0.77,3.2,0.7,0,0,0.008333333,0,2
BF,84,int,spruce,BFY07,moist,low,5,57.3,46.2,61.9,240,65.1529882,-147.4782401,4,258,147,1.137,0.070,2.566,-0.604,0.749,4.8,20.8,74.4,4.8,5,2,22-Jul-04,204,100,44.0,94,94,2,90,1.94,1.79,2.23,1.23,30.1,50.6,16.9,0.66,13.0,70,12,12,0.161,4.97,0.60,3.7,2.7,0,0,0,0,2
BF,86,int,mixed,BFY13,dry,low,3,25.5,NA,22.0,250,65.1424225,-147.4648893,5,352,53,1.137,0.087,0.925,-0.736,0.681,4.7,32.8,50.4,16.8,3,1,22-Jul-04,204,100,84.7,87,87,2,83,2.54,2.34,2.82,1.35,23.5,81.2,4.8,0.61,0.0,47,52,0,0.111,3.73,1.21,10.4,5.0,0,0,0.008333333,0,2
BF,87,int,decid,,dry,high,2,12.7,NA,13.3,235,65.1419572,-147.4655051,7,340,65,1.137,0.122,1.134,-0.732,0.659,4.6,31.8,55.5,12.8,3,1,22-Jul-04,204,100,66.6,84,84,3,98,2.79,2.9,2.72,2.85,26.7,92.5,1.9,1.27,0.0,33,50,0,0.062,1.81,0.23,17.3,0.9,0,0,0.008333333,2.144202436,1
BF,91,treeline,open,,NA,NA,3,25.6,27.4,NA,819,65.3196091,-146.7188424,4,145,100,1.140,0.070,1.745,-0.654,0.776,4.2,25.8,60.4,13.8,2,0,23-Jun-04,175,100,22.2,64,128,3,77,1.92,1.90,2.00,0.94,16.6,54.9,11.5,0.48,5.3,23,5,58,0.124,3.74,0.06,0.7,0.6,0,0,0,0,7
BF,92,treeline,open,,NA,NA,3,13.2,26.4,17.9,688,65.2931929,-146.7150771,7,275,130,1.140,0.122,2.269,-0.580,0.727,3.8,51.8,39.4,8.8,4,0,23-Jun-04,175,100,10.8,64,64,1,48,1.72,1.63,2.00,0.75,15,48.3,7.3,0.49,9.7,33,12,35,,,0.28,6.1,6.1,0,0,0.022222222,0.783478301,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
